#小鹤音形文本码表for PC搜狗拼音自定义短语
#用户许可协议：
#1.何海峰为“小鹤双拼、小鹤音形”输入方案的作者。
#2.本码表受著作权保护，只限您私人使用，不得修改和发布。
#3.未经授权，不得将本码表用于商业用途。
#著作权人：何海峰
#官方网站：flypy.com   QQ群：182883808
#本表贴入搜狗拼音自定义短语使用
jike,1=即可
abjp,1=矮半截
abjb,1=按部就班
ablo,1=阿波罗
ablk,1=爱别离苦
ablm,1=鞍不离马
abuu,1=爱不释手
abvu,1=熬不住
abvb,1=阿布扎比
acrk,1=爱才若渴
acrm,1=爱财如命
acuj,1=暗藏杀机
acxj,1=暗藏玄机
ader,1=安道尔
adic,1=暗渡陈仓
adl,1=按道理
adli,1=奥地利
adly,1=澳大利亚
adwn,1=安度晚年
aeby,1=阿尔巴尼亚
aefa,1=阿尔法
aejy,1=阿尔及利亚
aeje,1=阿尔及尔
aelj,1=爱尔兰
afet,1=埃菲尔铁塔
afhj,1=阿富汗
afti,1=阿凡提
afuj,1=安分守己
agjy,1=爱岗敬业
agla,1=安哥拉
agtk,1=阿根廷
aguy,1=熬更守夜
agve,1=爱国者
agvy,1=爱国主义
ahby,1=哀鸿遍野
ahgv,1=昂贵
ahqi,1=昂起
ahrj,1=盎然
ahri,1=安好如初
ahsi,1=盎司
ahug,1=安徽省
ahuz,1=昂首
ahve,1=爱好者
ahyh,1=昂扬
ahzh,1=肮脏
aiai,1=矮矮
aibm,1=癌变
aicd,1=爱才
aida,1=挨打
aidc,1=哀悼
aidd,1=爱戴
aiee,1=挨饿
aifa,1=挨罚
aifu,1=爱抚
aifw,1=爱妃
aigo,1=爱国
aigc,1=哀告
aige,1=挨个
aigh,1=爱岗
aihc,1=爱好
aihe,1=爱河
aihf,1=爱恨
aiho,1=爱火
aihu,1=爱护
aiiz,1=哀愁
aiic,1=爱巢
aiig,1=爱称
aiii,1=爱吃
aijb,1=挨近
aiji,1=埃及
aijl,1=爱将
aikj,1=爱看
aiku,1=爱哭
aijq,1=艾灸
ailm,1=爱恋
ailv,1=爱侣
aimu,1=爱慕
aima,1=挨骂
aimk,1=哀鸣
aimw,1=暧昧
aimb,1=爱民
aiph,1=矮胖
aiqk,1=爱情
aiql,1=矮墙
aiqp,1=哀切
aiqq,1=哀求
airf,1=爱人
aisi,1=哀思
aiti,1=挨踢
aitj,1=哀叹
aitk,1=爱听
aits,1=哀痛
aiuf,1=爱神
aiuh,1=爱上
aiui,1=碍事
aiuz,1=碍手
aive,1=挨着
aivg,1=癌症
aiwj,1=爱玩
aixb,1=爱心
aixi,1=爱惜
aixn,1=矮小
aixy,1=暗潮汹涌
aiya,1=哎呀
aiyi,1=爱意
aiyj,1=碍眼
aiyo,1=哎哟
aiyr,1=哀怨
aiys,1=爱用
aiyt,1=哀乐
aiyu,1=碍于
aiye,1=艾叶
aizi,1=矮子
aizg,1=爱憎
aizu,1=阿昌族
aizz,1=挨揍
ajah,1=挨家挨户
ajcb,1=挨肩擦背
ajle,1=安静了
ajlh,1=安家落户
ajly,1=安居乐业
ajmd,1=阿基米德
ajnf,1=暗箭难防
ajsr,1=氨基酸
ajur,1=暗箭伤人
akbk,1=爱看不看
albo,1=阿拉伯
albb,1=阿里巴巴
albl,1=爱理不理
albg,1=阿拉伯联合酋长国
albz,1=阿拉伯数字
alba,1=阿鲁巴
aldk,1=阿拉丁
alfp,1=按劳分配
alhv,1=安理会
alpk,1=奥林匹克
alqq,1=阿联酋
alqi,1=按劳取酬
alsi,1=安乐死
aluo,1=按理说
aluj,1=阿里山
alwo,1=安乐窝
amag,1=阿猫阿狗
amds,1=哀莫大于心死
amld,1=鞍马劳顿
amnv,1=爱莫能助
amrz,1=爱民如子
amsd,1=阿姆斯特丹
amvx,1=爱美之心
amwq,1=奥妙无穷
amyc,1=安眠药
amzi,1=爱面子
anan,1=暗暗
anbc,1=安保
anbj,1=案板
anbm,1=岸边
anbv,1=按捺不住
anby,1=懊恼不已
anch,1=暗藏
anci,1=按此
anco,1=按错
andc,1=暗道
andi,1=暗地
andj,1=暗淡
andk,1=安定
andu,1=安度
andy,1=安顿
anfa,1=案发
anff,1=安分
anfg,1=暗讽
anfh,1=安放
anfj,1=案犯
anfu,1=安抚
ange,1=暗格
angz,1=暗沟
anhc,1=暗号
anhd,1=暗害
anhe,1=暗合
anhj,1=暗含
anhl,1=暗黄
anhs,1=暗红
anhv,1=安徽
anhw,1=暗黑
ania,1=安插
anic,1=暗潮
anih,1=暗娼
anil,1=暗疮
aniu,1=暗处
aniy,1=鹌鹑
anji,1=按季
anjk,1=安静
anjm,1=案件
anjn,1=暗礁
anjp,1=按揭
anjr,1=案卷
anju,1=安居
anjx,1=安家
ankh,1=安康
ankv,1=暗亏
anli,1=案例
anla,1=安拉
anle,1=安乐
anlk,1=按铃
anlm,1=暗恋
anlq,1=暗流
anlv,1=暗绿
anmb,1=安民
anma,1=鞍马
anmf,1=暗门
anmm,1=安眠
anmo,1=按摩
annq,1=按钮
anna,1=按捺
anng,1=安能
annk,1=安宁
annm,1=按年
anpd,1=安排
anpw,1=安培
anqb,1=安寝
anqi,1=按期
anqk,1=案情
anqr,1=安全
anri,1=按日
anrj,1=安然
anrz,1=按揉
ansr,1=暗算
anso,1=暗锁
antd,1=安泰
antj,1=暗探
anto,1=安妥
antz,1=案头
anui,2=暗示
anui,1=暗示
anua,1=暗杀
anuc,1=暗哨
anuj,1=鞍山
anue,1=安设
anuf,1=安神
anug,1=安生
anuh,1=岸上
anuo,1=按说
anuu,1=谙熟
anuv,1=安睡
anvl,1=安装
anvc,1=按照
anve,1=按着
anvi,1=安置
anvo,1=安卓
anvs,1=暗中
anvu,1=按住
anww,1=安慰
anwf,1=安稳
anxb,1=安心
anxi,1=安息
anxl,1=安详
anxm,1=暗线
anxn,1=暗笑
anxx,1=按下
anya,1=按压
anye,1=暗夜
anyi,1=安逸
anyk,1=暗影
anyt,1=按月
anyu,1=暗语
anzi,1=案子
anzh,1=安葬
anzo,1=安坐
aoao,1=嗷嗷
aoan,1=傲岸
aocc,1=凹槽
aodc,1=熬到
aodi,1=奥迪
aogo,1=熬过
aogu,1=傲骨
aohv,1=懊悔
aohf,1=凹痕
aoig,1=熬成
aokz,1=拗口
aomj,1=傲慢
aomf,1=澳门
aomi,1=奥秘
aomn,1=奥妙
aonc,1=懊恼
aoqi,1=傲气
aorf,1=傲人
aosh,1=懊丧
aoth,1=熬汤
aotu,1=凹凸
aoui,1=傲视
aouu,1=奥数
aovz,1=澳洲
aovj,1=鏖战
aovi,1=熬制
aovu,1=熬煮
aoxl,1=翱翔
aoxm,1=凹陷
aoyc,1=熬药
aoye,1=熬夜
aoyy,1=奥运
aoyi,1=奥义
aoyr,1=澳元
aoyz,1=遨游
aoxx,1=凹下
apld,1=安贫乐道
aqdy,1=安全第一
aqhd,1=爱琴海
aqgj,1=安全感
aqju,1=安全局
aqmh,1=鞍前马后
aqrm,1=爱钱如命
aqpm,1=爱情片
artl,1=傲然挺立
artu,1=安如泰山
arus,1=黯然失色
aruu,1=黯然神伤
arwy,1=安然无恙
arxh,1=黯然销魂
aryl,1=傲然屹立
asbj,1=阿塞拜疆
asey,1=埃塞俄比亚
asjm,1=爱斯基摩
aska,1=奥斯卡
aslu,1=奥斯陆
aspl,1=阿司匹林
asqb,1=暗送秋波
atbp,1=凹凸不平
atkq,1=暗通款曲
atjk,1=凹透镜
atsj,1=按图索骥
atug,1=安徒生
atyj,1=哀痛欲绝
auaj,1=碍手碍脚
aubu,1=爱说不说
aukb,1=昂首阔步
aulm,1=安身立命
auma,1=阿诗玛
auny,1=爱沙尼亚
auqx,1=傲视群雄
autx,1=昂首挺胸
autq,1=唉声叹气
auvd,1=安身之地
auvl,1=安史之乱
auvi,1=安身之处
avbj,1=安装版
avew,1=安枕而卧
avff,1=安知非福
avms,1=暗中摸索
avrs,1=安之若素
avwy,1=安枕无忧
avyu,1=爱之欲其生
awhv,1=奥委会
awjw,1=爱屋及乌
awtr,1=暗无天日
axbx,1=爱信不信
axcz,1=暗箱操作
axfp,1=按需分配
axhp,1=按下葫芦起来瓢
axjl,1=爱新觉罗
axuy,1=暗香疏影
axym,1=爱惜羽毛
ayhv,1=奥运会
ayst,1=爱因斯坦
ayvv,1=安营扎寨
ayxv,1=安于现状
azbk,1=艾滋病
azfm,1=爱憎分明
azpc,1=腌臜泼才
b,1=不
bak,1=吧
bu,1=部
bc,1=报
bf,1=本
bww,1=备
bwl,1=北
bcby,1=宝
bcr,1=保
bn,1=表
bj,1=办
bk,1=并
bi,1=比
buv,1=步
ba,1=把
bnm,1=标
bw,1=被
bp,1=别
bmw,1=变
bda,1=百
bizt,1=逼
bid,1=必
bcb,1=包
buu,1=布
bap,1=八
bmr,1=便
bjp,1=版
bm,1=边
bkb,1=病
bd,1=白
bav,1=巴
basl,1=巴
bjd,1=半
bjw,1=班
bod,1=波
bms,1=编
bkq,1=兵
bup,1=补
bh,1=帮
bip,1=币
biv,1=笔
bou,1=博
bjv,1=般
bwr,1=倍
bof,1=播
bmz,1=遍
bjm,1=板
bibu,1=毕
bdk,1=败
bihb,1=秘
bbb,1=宾
bwlo,1=背
bdf,1=摆
bkd,1=冰
biz,1=避
bco,1=暴
bim,1=闭
bfv,1=笨
bfd,1=奔
bwm,1=杯
bjb,1=颁
bjr,1=伴
boul,1=勃
bo,1=拨
baf,1=拔
bcos,1=胞
bwkr,1=贝
bcc,1=薄
boc,1=薄
bhf,1=邦
bdrb,1=伯
bor,1=伯
bch,1=爆
bb,1=滨
bow,1=玻
bcu,1=饱
biu,1=壁
biut,1=壁
buf,1=捕
bcf,1=抱
bdu,1=拜
bwfi,1=辈
bjf,1=搬
bofc,1=搏
bwf,1=悲
bcrt,1=堡
bur,1=堡
bbw,1=斌
bbwv,1=斌
bhmf,1=榜
bwu,1=碑
bat,1=坝
bml,1=辩
bab,1=爸
bkuk,1=屏
bdm,1=柏
bom,1=柏
bodb,1=泊
bovb,1=舶
butf,1=埔
bay,1=霸
bidc,1=弊
bii,1=彼
bas,1=罢
biw,1=碧
bce,1=剥
boe,1=剥
bodl,1=渤
bku,1=饼
bbm,1=彬
bkh,1=炳
bjww,1=斑
bizl,1=鼻
bca,1=鲍
bmg,1=鞭
bhm,1=棒
biuo,1=臂
bwuo,1=臂
bjfd,1=扮
bbdr,1=濒
bkp,1=秉
bol,1=卜
bul,1=卜
bgb,1=甭
bgu,1=泵
bmk,1=贬
bnh,1=彪
bho,1=膀
bka,1=丙
but,1=埠
bomx,1=驳
bhj,1=镑
bhjf,1=镑
bhs,1=绑
bcou,1=曝
bhr,1=傍
bac,1=芭
bge,1=崩
bhu,1=磅
bovc,1=簿
buvc,1=簿
bpda,1=鳖
buk,1=哺
bux,1=怖
bic,1=蔽
bmkc,1=匾
baz,1=跋
bfc,1=苯
bccm,1=葆
bcd,1=瀑
bcv,1=豹
bafb,1=扒
bbd,1=殡
bakb,1=叭
bwp,1=卑
booz,1=脖
bidb,1=泌
bgi,1=蚌
bhi,1=蚌
bwx,1=悖
big,1=庇
bjfb,1=拌
bmh,1=扁
bcbd,1=刨
bcw,1=褒
bjfy,1=扳
bibl,1=痹
bbs,1=缤
bjl,1=瓣
boo,1=膊
bwwx,1=惫
bkf,1=摒
bib,1=毙
bpd,1=憋
bg,1=蹦
bjt,1=坂
bkm,1=柄
bovy,1=簸
bigg,1=弼
bocy,1=菠
bag,1=靶
bje,1=阪
bouc,1=礴
bgz,1=迸
bjs,1=绊
bgs,1=绷
bhy,1=谤
bcy,1=雹
bdr,1=佰
babb,1=疤
bov,1=箔
bwc,1=蓓
bipv,1=匕
bike,1=鄙
bchs,1=炮
bie,1=陛
bba,1=鬓
bmdx,1=卞
bbmb,1=槟
bnj,1=镖
bhme,1=梆
bczs,1=孢
bipu,1=裨
bduu,1=掰
boj,1=铂
boct,1=蕃
bmd,1=汴
bccs,1=苞
bnp,1=裱
bwe,1=陂
bcrh,1=煲
bavb,1=笆
buj,1=钚
bmlu,1=辫
bowq,1=亳
biur,1=贲
bal,1=耙
bojb,1=钵
bhd,1=浜
bhdb,1=浜
bob,1=帛
bidw,1=敝
baa,1=鲅
bwj,1=钡
bwq,1=狈
bpb,1=瘪
bdkr,1=呗
bwk,1=呗
bmu,1=砭
bkw,1=禀
bno,1=膘
bnq,1=飙
bicb,1=蓖
bam,1=粑
bae,1=岜
bwh,1=焙
bouu,1=擘
bcp,1=褓
bnjh,1=镳
bouz,1=饽
bmc,1=苄
bbf,1=摈
boz,1=跛
bad,1=灞
bbo,1=膑
bikb,1=吡
bmic,1=蝙
bdfu,1=捭
bivb,1=篦
bgk,1=嘣
bojd,1=钹
bir,1=俾
bij,1=铋
bdh,1=稗
bjjy,1=钣
bhc,1=蒡
bhcf,1=蒡
bwuk,1=碚
baj,1=钯
bjby,1=瘢
bnn,1=婊
bpdr,1=蹩
bibb,1=毖
bivu,1=筚
bcz,1=趵
bicz,1=荸
bicu,1=薜
bin,1=婢
boum,1=檗
bik,1=哔
bukb,1=卟
bma,1=鳊
bkbe,1=邴
bnmx,1=骠
bmsc,1=弁
bbwd,1=玢
bfj,1=锛
bidl,1=濞
bbj,1=镔
buz,1=逋
bafd,1=捌
bih,1=秕
bix,1=愎
bfs,1=畚
binb,1=妣
bnjs,1=飑
bbe,1=豳
bbg,1=髌
bnmu,1=杓
bguw,1=甏
bivl,1=箅
bbr,1=傧
bok,1=啵
boun,1=鹁
buo,1=晡
bwgu,1=庳
bigu,1=髀
bwgy,1=鞴
bit,1=畀
bidm,1=滗
bmp,1=褊
bacd,1=菝
bagd,1=魃
bjbw,1=癍
bfb,1=坌
bfdl,1=夯
biq,1=狴
biun,1=嬖
bmuc,1=碥
bna,1=鳔
buyn,1=醭
bwuj,1=鐾
bmx,1=忭
bnb,1=瘭
bozk,1=踣
bgj,1=镚
bgp,1=祊
boa,1=鲌
bamb,1=朳
bfn,1=犇
ban,1=妭
bao,1=胈
bayb,1=羓
baab,1=鲃
bbbe,1=邠
bcms,1=枹
bfm,1=栟
bgw,1=琫
bhk,1=𠳐
bhw,1=玤
bhmk,1=棓
bht,1=塝
bhff,1=搒
bikr,1=赑
bibt,1=坒
birb,1=佖
bibe,1=邲
biy,1=诐
biwb,1=珌
bixy,1=觱
biwy,1=觱
biay,1=觱
bia,1=鲾
bjmb,1=柈
bjoy,1=昄
bjdy,1=湴
bjgb,1=靽
bko,1=昺
bki,1=蛃
bmf,1=抃
bmo,1=昪
bmcc,1=萹
bnr,1=俵
bnoy,1=脿
bnc,1=蔈
bnhx,1=熛
bnrh,1=儦
bnch,1=藨
boar,1=僰
boub,1=砵
bokz,1=哱
bomz,1=桲
boab,1=鲌
boet,1=嶓
bojc,1=镈
boh,1=馞
buc,1=蔀
bwmu,1=椑
bwmy,1=糒
bojy,1=𬭛
bufn,1=𬷕
bomc,1=欂
bua,1=不
bfa,1=本
bwlb,1=北
bcrm,1=保
bjld,1=办
buvp,1=步
bwpy,1=被
bmwy,1=变
bdab,1=百
bpk,1=别
bwwt,1=备
bcbs,1=包
bapn,1=八
bmrg,1=便
bjpy,1=版
bmzl,1=边
bfdc,1=奔
bcfs,1=抱
bwfx,1=悲
burt,1=堡
batr,1=坝
bkbb,1=病
bavv,1=巴
body,1=波
bkqb,1=兵
bhfj,1=帮
bipj,1=币
bwrk,1=倍
boft,1=播
bdkw,1=败
bdfs,1=摆
bjbr,1=颁
bjrb,1=伴
bofd,1=拨
bccc,1=薄
bocc,1=薄
bhfe,1=邦
borb,1=伯
bowy,1=玻
bcus,1=饱
bdmb,1=柏
bomb,1=柏
bayo,1=霸
biiy,1=彼
bass,1=罢
bced,1=剥
boed,1=剥
bbmp,1=彬
bkhb,1=炳
bcas,1=鲍
bkpn,1=秉
bold,1=卜
bguu,1=泵
bmkf,1=贬
bnhp,1=彪
bhof,1=膀
bhse,1=绑
bacb,1=芭
bgeo,1=崩
buxj,1=怖
bicw,1=蔽
bazd,1=跋
bfcb,1=苯
bbdb,1=殡
bwpu,1=卑
bgif,1=蚌
bcwy,1=褒
bbsb,1=缤
booc,1=膊
bkfk,1=摒
bpdx,1=憋
bgzo,1=蹦
bagb,1=靶
bgzk,1=迸
bjsb,1=绊
bgso,1=绷
bhyf,1=谤
bgby,1=甭
bcys,1=雹
bwck,1=蓓
biet,1=陛
bbab,1=鬓
bmdb,1=汴
bnpy,1=裱
bwey,1=陂
bobj,1=帛
baad,1=鲅
bwjr,1=钡
bpbb,1=瘪
bkwx,1=禀
bnox,1=膘
bnqx,1=飙
baeb,1=岜
bwhk,1=焙
bmcb,1=苄
bbfb,1=摈
bozy,1=跛
bado,1=灞
bbob,1=膑
bgko,1=嘣
bajb,1=钯
binu,1=婢
biku,1=哔
bmac,1=鳊
bfjc,1=锛
buzf,1=逋
bbeu,1=豳
bbgb,1=髌
bbrb,1=傧
boky,1=啵
buof,1=晡
bitl,1=畀
bfbt,1=坌
biqt,1=狴
bnax,1=鳔
bnbx,1=瘭
bgjo,1=镚
bgpf,1=祊
band,1=妭
baod,1=胈
bgwl,1=琫
bhwf,1=榜文
bhtf,1=塝
biat,1=鲾
bkob,1=昺
bkib,1=蛃
bmfb,1=抃
bmoc,1=昪
bnry,1=俵
bncx,1=蔈
bohz,1=馞
buad,1=不
bfaa,1=本
bpkd,1=别
bijn,1=比较
bx,1=必须
bt,1=不同
bv,1=保证
bq,1=并且
by,1=必要
bz,1=不再
bs,1=比赛
bl,1=本来
br,1=不然
be,1=不饿
baba,1=爸爸
babc,1=八宝
babd,1=八百
babi,1=芭比
babk,1=把柄
bacc,1=拔草
badc,1=霸道
badn,1=拔掉
badz,1=巴豆
bael,1=北爱尔兰
bafg,1=把风
bafh,1=八方
bagc,1=拔高
bage,1=八个
bagr,1=把关
bags,1=罢工
bagu,1=八股
bagx,1=八卦
bagl,1=扒光
bahf,1=疤痕
bahe,1=拔河
bahu,1=跋扈
bahl,1=八荒
bahx,1=不安好心
baiu,1=拔出
baie,1=扒车
baig,1=八成
baih,1=靶场
baii,1=把持
baji,1=吧唧
bajm,1=拔尖
bajn,1=八角
bajp,1=巴结
bake,1=罢课
baks,1=把控
bala,1=扒拉
balb,1=巴林
bale,1=罢了
bali,1=巴黎
balu,1=八路
balw,1=芭蕾
bama,1=爸妈
bamc,1=拔毛
bamd,1=把脉
bamf,1=把门
bamm,1=罢免
bapi,1=扒皮
baq,1=不安全
baqr,1=霸权
baqi,1=霸气
baqm,1=八千
basd,1=罢赛
basv,1=八岁
batd,1=吧台
batm,1=八天
batv,1=拔腿
baue,1=跋涉
baui,1=八十
bauu,1=巴蜀
bauz,1=把手
bave,1=八折
bavh,1=巴掌
bavj,1=霸占
bavu,1=霸主
bawo,1=把握
bawf,1=把稳
bawh,1=霸王
bawj,1=把玩
baxb,1=靶心
baxi,1=巴西
baxm,1=八仙
baxq,1=罢休
baxx,1=拔下
baxy,1=八旬
baya,1=拔牙
baye,1=霸业
bayi,1=八一
bayt,1=八月
bazi,1=八字
bazu,1=保安族
bbbi,1=并不比
bbbb,1=宾
bbbk,1=不卑不亢
bbbd,1=不比不知道
bbdc,1=办不到
bbde,1=巴不得
bbdn,1=百般刁难
bbdv,1=不必当真
bbdy,1=逼不得已
bbds,1=巴巴多斯
bbff,1=缤纷
bbgr,1=宾馆
bbhd,1=滨海
bbhe,1=滨河
bbig,1=办不成
bbiy,1=百步穿杨
bbjl,1=滨江
bbjn,1=鬓角
bbju,1=比比皆是
bbjx,1=步步惊心
bbjb,1=步步紧逼
bbko,1=不包括
bbke,1=宾客
bbku,1=必不可少
bbl,1=八百里
bblb,1=濒临
bbli,1=宾利
bblm,1=殡殓
bbly,1=巴比伦
bblx,1=便把令来行
bbmc,1=鬓毛
bbmm,1=爸爸妈妈
bbpg,1=宾朋
bbpp,1=白白胖胖
bbqq,1=北半球
bbqi,1=摈弃
bbrd,1=兵败如山倒
bbth,1=棒棒糖
bbtt,1=蹦蹦跳跳
bbui,1=并不是
bbuu,1=并不是说
bbuh,1=比不上
bbum,1=帮不上忙
bbvz,1=八宝粥
bbvd,1=并不知道
bbvj,1=八拜之交
bbvu,1=宾主
bbvw,1=不辨真伪
bbvy,1=不白之冤
bbwn,1=被逼无奈
bbwj,1=北部湾
bbww,1=濒危
bbwx,1=白璧微瑕
bbwy,1=步步为营
bbxr,1=兵不血刃
bbxy,1=并不需要
bbyc,1=不必要
bbyh,1=北冰洋
bbyl,1=彬彬有礼
bbyu,1=宾语
bbyv,1=兵不厌诈
bbyd,1=并不一定
bbyy,1=巴布亚新几内亚
bbzi,1=半辈子
bbzh,1=殡葬
bbzy,1=不必在意
bcan,1=保安
bcbc,1=宝宝
bcbf,1=保本
bcbi,1=包庇
bcbj,1=包办
bcbk,1=刨冰
bcbm,1=褒贬
bcbn,1=报表
bcbw,1=宝贝
bcch,1=爆仓
bccj,1=饱餐
bcco,1=报错
bccy,1=保存
bccd,1=包菜
bcda,1=报答
bcdc,1=报道
bcdi,1=保底
bcdj,1=保单
bcdk,1=保定
bcdm,1=宝典
bcdp,1=暴跌
bcds,1=暴动
bcdu,1=报毒
bcen,1=报恩
bceb,1=不辞而别
bcfa,1=爆发
bcfg,1=暴风
bcfh,1=包房
bcfu,1=报复
bcfw,1=报废
bcfy,1=不测风云
bcgc,1=报告
bcgd,1=宝盖
bcge,1=饱嗝
bcgj,1=包干
bcgl,1=曝光
bcgm,1=本草纲目
bcgo,1=包裹
bcgr,1=保管
bcgs,1=包公
bcgu,1=包谷
bcgv,1=宝贵
bche,1=饱和
bchf,1=抱恨
bchj,1=包含
bchr,1=包换
bchu,1=保护
bchx,1=包藏祸心
bcia,1=宝刹
bcic,1=爆炒
bcie,1=包车
bcih,1=包场
bcii,1=保持
bciu,1=爆出
bciz,1=报酬
bcjb,1=抱紧
bcjd,1=不存芥蒂
bcji,1=宝鸡
bcjk,1=报警
bcjl,1=褒奖
bcjm,1=保健
bcjp,1=保洁
bcju,1=保举
bcjx,1=报价
bcjy,1=暴君
bcko,1=包括
bckc,1=报考
bckj,1=报刊
bcke,1=剥壳
bcks,1=暴恐
bckr,1=病从口入
bcki,1=病从口入，祸从口出
bcku,1=宝库
bcl,1=不错了
bcle,1=报了
bclg,1=爆冷
bcli,1=暴力
bclj,1=包揽
bclk,1=不辞劳苦
bcln,1=爆料
bclo,1=包罗
bclp,1=爆裂
bclq,1=保留
bclr,1=暴乱
bclu,1=暴露
bclw,1=堡垒
bcma,1=宝马
bcmb,1=百辞莫辩
bcmi,1=保密
bcmj,1=饱满
bcmk,1=报名
bcmo,1=薄膜
bcmu,1=保姆
bcmw,1=胞妹
bcnr,1=保暖
bcnt,1=暴虐
bcnu,1=暴怒
bcpg,1=爆棚
bcpj,1=报盘
bcpi,1=报批
bcpn,1=包票
bcpm,1=薄片
bcpo,1=爆破
bcpw,1=包赔
bcqm,1=抱歉
bcqi,1=抱起
bcqk,1=报请
bcqr,1=保全
bcqu,1=抱屈
bcrf,1=保人
bcrs,1=包容
bcss,1=报送
bcsh,1=报丧
bcsi,1=暴死
bcth,1=煲汤
bcta,1=宝塔
bctd,1=爆胎
bctj,1=报摊
bctk,1=报亭
bctn,1=暴跳
bctr,1=抱团
bctu,1=暴徒
bctz,1=包头
bcud,1=暴晒
bcue,1=报社
bcuf,1=报审
bcuh,1=报上
bcui,1=宝石
bcuj,1=宝山
bcuq,1=抱残守缺
bcuu,1=报数
bcuv,1=报税
bcuz,1=保守
bcva,1=爆炸
bcve,1=抱着
